code,name,ticker,market,size_category,sector_33,fy_end,announce_proxy_date,buyback_jpy,market_cap_at_announce,buyback_pct_mcap,price_at_announce,price_1y_later,price_1y_return_pct,pbr_pre,pbr_post,pbr_delta,roe_pre_pct,roe_post_pct,roe_delta_pct,equity_pre,equity_post,net_income_pre,net_income_post
3401,帝人,3401.T,TSE Prime,TOPIX Mid400,繊維製品,2024-03-31,2024-06-29,15000000.0,244503950285.80078,0.006134870206582141,1267.412109375,1145.607421875,-9.610503686923554,0.5948325004025086,0.5124552385424785,-0.08237726186003003,-2.8600243707677766,6.57128219631552,9.431306567083297,409507000000.0,431377000000.0,-11712000000.0,28347000000.0
4043,トクヤマ,4043.T,TSE Prime,TOPIX Mid400,化学,2024-03-31,2024-06-29,12000000.0,199825763878.89404,0.006005231641337647,2777.45361328125,2968.1142578125,6.864584294749232,0.8099368752419397,0.8115286876369034,0.0015918123949637542,7.121622434855871,8.94170002408616,1.820077589230289,249255000000.0,261561000000.0,17751000000.0,23388000000.0
4186,東京応化工業,4186.T,TSE Prime,TOPIX Mid400,化学,2025-12-31,2026-03-31,44000000.0,883906603952.0,0.0049779014890570265,7372.0,,,4.2030835104582485,5.706591339349625,1.5035078288913768,14.643304130162704,,,227715000000.0,,33345000000.0,
1333,マルハニチロ,1333.T,TSE Prime,TOPIX Mid400,水産・農林業,2025-03-31,2025-06-29,6000000.0,151423472273.094,0.003962397579404949,1001.588623046875,,,0.6540782544453336,0.8362810808330674,0.18220282638773377,10.133816559799275,,,229568000000.0,,23264000000.0,
1878,大東建託,1878.T,TSE Prime,TOPIX Mid400,不動産業,2025-03-31,2025-06-29,37000000.0,996358591815.5427,0.0037135224510464063,3070.059326171875,,,2.1796345251985767,2.1710888065812215,-0.008545718617355202,20.122029654149266,,,466444000000.0,,93858000000.0,
2501,サッポロホールディングス,2501.T,TSE Prime,TOPIX Mid400,食料品,2024-12-31,2025-03-31,21000000.0,588270671572.5966,0.003569785307137899,1508.9993896484375,1711.5,13.419528976664497,3.1025966612102533,3.001363270805348,-0.10123339040490542,3.9351119726572468,8.908810117791118,4.973698145133872,196030000000.0,218862000000.0,7714000000.0,19498000000.0
4208,ＵＢＥ,4208.T,TSE Prime,TOPIX Mid400,化学,2024-03-31,2024-06-29,8000000.0,258838004022.13672,0.003090736242625257,2664.44482421875,2209.95654296875,-17.05752271988825,0.6287769930799924,0.5457554353028419,-0.08302155777715048,7.090135559301385,-1.218925745756792,-8.309061305058176,408751000000.0,395102000000.0,28981000000.0,-4816000000.0
4061,デンカ,4061.T,TSE Prime,TOPIX Mid400,化学,2025-03-31,2025-06-29,5000000.0,167107805176.0913,0.0029920804684923042,1938.612060546875,,,0.5602055270235237,1.257743770204838,0.6975382431813143,-4.152865983976015,,,296181000000.0,,-12300000000.0,
4043,トクヤマ,4043.T,TSE Prime,TOPIX Mid400,化学,2025-03-31,2025-06-29,6000000.0,213542971882.9873,0.0028097389237833363,2968.1142578125,,,0.8115286876369034,1.2833795012951985,0.47185081365829507,8.94170002408616,,,261561000000.0,,23388000000.0,
4208,ＵＢＥ,4208.T,TSE Prime,TOPIX Mid400,化学,2025-03-31,2025-06-29,6000000.0,214686652678.35547,0.002794770855638253,2209.95654296875,,,0.5457554353028419,0.7158162167102278,0.1700607814073859,-1.218925745756792,,,395102000000.0,,-4816000000.0,
4927,ポーラ・オルビスホールディングス,4927.T,TSE Prime,TOPIX Mid400,化学,2025-12-31,2026-03-31,8000000.0,289326305217.5,0.002765044123446027,1307.5,,,1.7795863875186273,1.7510912947714743,-0.028495092747153006,5.808655337989906,,,163067000000.0,,9472000000.0,
3401,帝人,3401.T,TSE Prime,TOPIX Mid400,繊維製品,2025-03-31,2025-06-29,6000000.0,221005889128.91016,0.0027148597820849333,1145.607421875,,,0.5124552385424785,0.8250432093639088,0.3125879708214303,6.57128219631552,,,431377000000.0,,28347000000.0,
5401,日本製鉄,5401.T,TSE Prime,TOPIX Large70,鉄鋼,2024-03-31,2024-06-29,73000000.0,3114840913615.3286,0.0023436188885573124,595.9942016601562,494.6418151855469,-17.005599415613414,0.565329209103723,0.47910744875472444,-0.08622176034899853,11.498605927044387,6.505791695854095,-4.992814231190293,4777727000000.0,5383311000000.0,549372000000.0,350227000000.0
